method,run,overlap,limits,time
ASDETECT,1,NaN,"(5, 15)",38.25321609499224
ASDETECT,2,NaN,"(5, 15)",38.22287189599592
ASDETECT,3,NaN,"(5, 15)",38.18008178699529
ASDETECT,4,NaN,"(5, 15)",38.3082990309922
ASDETECT,5,NaN,"(5, 15)",38.291964199001086
ASDETECT,6,NaN,"(5, 15)",38.34047897600976
ASDETECT,7,NaN,"(5, 15)",38.27773503700155
ASDETECT,8,NaN,"(5, 15)",38.24783132500306
ASDETECT,9,NaN,"(5, 15)",38.32356867099588
ASDETECT,10,NaN,"(5, 15)",38.24762683700828
ASDETECT,1,NaN,"(8, 35)",52.373755491993506
ASDETECT,2,NaN,"(8, 35)",52.51566542799992
ASDETECT,3,NaN,"(8, 35)",52.383434675008175
ASDETECT,4,NaN,"(8, 35)",52.49734195400379
ASDETECT,5,NaN,"(8, 35)",52.520908787992084
ASDETECT,6,NaN,"(8, 35)",52.378374901993084
ASDETECT,7,NaN,"(8, 35)",52.38493663100235
ASDETECT,8,NaN,"(8, 35)",52.376068604993634
ASDETECT,9,NaN,"(8, 35)",52.40063424599066
ASDETECT,10,NaN,"(8, 35)",52.38957270699029
ASDETECT,1,NaN,"(17, 70)",57.19781184200838
ASDETECT,2,NaN,"(17, 70)",57.28567194100469
ASDETECT,3,NaN,"(17, 70)",57.277955035999184
ASDETECT,4,NaN,"(17, 70)",57.177320325004985
ASDETECT,5,NaN,"(17, 70)",57.23206509099691
ASDETECT,6,NaN,"(17, 70)",57.1989729529887
ASDETECT,7,NaN,"(17, 70)",57.35442425600195
ASDETECT,8,NaN,"(17, 70)",57.25358880200656
ASDETECT,9,NaN,"(17, 70)",57.352390130996355
ASDETECT,10,NaN,"(17, 70)",57.21049307899375
ASDETECT,1,NaN,"(35, 116)",58.86961827799678
ASDETECT,2,NaN,"(35, 116)",58.83805078599835
ASDETECT,3,NaN,"(35, 116)",58.99287712101068
ASDETECT,4,NaN,"(35, 116)",58.87562470899138
ASDETECT,5,NaN,"(35, 116)",58.79519948500092
ASDETECT,6,NaN,"(35, 116)",58.81869559099141
ASDETECT,7,NaN,"(35, 116)",59.09382185499999
ASDETECT,8,NaN,"(35, 116)",58.99893861399323
ASDETECT,9,NaN,"(35, 116)",58.92171134799719
ASDETECT,10,NaN,"(35, 116)",58.77550153998891
ASDETECT,1,NaN,"(5, 15)",37.45502110699999
ASDETECT,2,NaN,"(5, 15)",37.44659395399958
ASDETECT,3,NaN,"(5, 15)",37.418108324999594
ASDETECT,4,NaN,"(5, 15)",37.419883612000376
ASDETECT,5,NaN,"(5, 15)",37.50652990799972
ASDETECT,6,NaN,"(5, 15)",37.46588030500061
ASDETECT,7,NaN,"(5, 15)",37.42850115900001
ASDETECT,8,NaN,"(5, 15)",37.425212383000144
ASDETECT,9,NaN,"(5, 15)",37.54008593399976
ASDETECT,10,NaN,"(5, 15)",37.46071492900046
ASDETECT,1,NaN,"(8, 35)",51.049979399999756
ASDETECT,2,NaN,"(8, 35)",50.856243848000304
ASDETECT,3,NaN,"(8, 35)",50.936138486000345
ASDETECT,4,NaN,"(8, 35)",50.95206189600049
ASDETECT,5,NaN,"(8, 35)",51.00975089399981
ASDETECT,6,NaN,"(8, 35)",51.00746156400055
ASDETECT,7,NaN,"(8, 35)",50.87722131299961
ASDETECT,8,NaN,"(8, 35)",50.91965180400075
ASDETECT,9,NaN,"(8, 35)",50.96317690399974
ASDETECT,10,NaN,"(8, 35)",51.028526631000204
ASDETECT,1,NaN,"(17, 70)",55.91638079399945
